uid,x,y,Year,Month,BN
1,148.094324993002,-26.6923060270002,2018,4,2
2,151.044324993003,-26.6923060270002,2018,5,1
3,150.744324993003,-26.6923060270002,2018,1,2
4,150.044324993003,-26.6923060270002,2018,6,4
5,149.744324993003,-26.6923060270002,2019,4,1
6,144.844324993002,-26.6923060270002,2017,4,1
7,147.194324993002,-26.6923060270002,2018,4,4
8,147.044324993002,-26.6923060270002,2017,7,1
9,146.794324993002,-26.6923060270002,2019,7,1
10,146.344324993002,-26.6923060270002,2017,11,2
11,146.294324993002,-26.6923060270002,2018,10,4
12,142.894324993001,-26.6923060270002,2017,5,3
13,143.044324993001,-26.6923060270002,2019,3,3
14,142.844324993001,-26.6923060270002,2019,6,2
15,142.294324993001,-26.6923060270002,2018,9,3
16,142.444324993001,-26.6923060270002,2018,4,2
17,142.044324993001,-26.6923060270002,2019,10,1
18,141.694324993001,-26.6923060270002,2018,9,3
19,141.844324993001,-26.6923060270002,2019,3,1
20,144.644324993002,-26.6923060270002,2018,12,2
21,141.144324993001,-26.6923060270002,2016,1,4
22,141.094324993001,-26.6923060270002,2017,7,4
23,141.244324993001,-26.6923060270002,2016,8,3
24,142.744324993001,-11.242306027,2018,4,1
25,142.694324993001,-26.7423060270002,2019,8,3
26,141.944324993001,-26.7423060270002,2018,12,1
27,141.744324993001,-26.7423060270002,2016,10,1
28,141.594324993001,-26.7423060270002,2019,10,4
29,152.294324993003,-26.6923060270002,2019,5,1
30,152.444324993003,-26.6923060270002,2017,6,3
31,152.394324993003,-26.6923060270002,2018,8,2
32,152.094324993003,-26.6923060270002,2018,11,4
33,151.994324993003,-26.6923060270002,2019,3,1
34,151.194324993003,-26.6923060270002,2019,8,2
35,152.894324993003,-26.6923060270002,2017,12,3
36,152.794324993003,-26.7423060270002,2018,2,2
37,152.844324993003,-26.7423060270002,2016,8,1
38,149.894324993003,-26.7423060270002,2017,1,4
39,149.294324993003,-26.7423060270002,2016,4,2
40,151.744324993003,-26.7423060270002,2017,6,4
41,151.644324993003,-26.7423060270002,2016,9,2
42,150.894324993003,-26.7423060270002,2018,7,4
43,147.394324993002,-26.7423060270002,2018,9,3
44,146.494324993002,-26.7423060270002,2017,11,3
45,146.444324993002,-26.7423060270002,2018,6,3
46,146.144324993002,-26.7423060270002,2019,5,1
47,148.994324993003,-26.7423060270002,2018,4,1
48,148.394324993002,-26.7423060270002,2018,1,3
49,148.294324993002,-26.7423060270002,2018,3,1
50,148.244324993002,-26.7423060270002,2016,7,1
51,147.944324993002,-26.7423060270002,2018,3,3
52,144.094324993001,-26.7423060270002,2017,8,3
53,143.194324993001,-26.7423060270002,2017,11,4
